RegionID,RegionName,City,CountyName,Price
71037,30317,Atlanta,Dekalb County,237719.1649
71038,30318,Atlanta,Fulton County,148233.032
71039,30319,Brookhaven,Dekalb County,422802.6244
71043,30324,Atlanta,Fulton County,302778.4476
71045,30326,Atlanta,Fulton County,318130.179
71046,30327,Atlanta,Fulton County,821353.6099
71047,30328,Sandy Springs,Fulton County,321041.9102
71048,30329,Atlanta,Dekalb County,288961.8447
71055,30337,College Park,Fulton County,115801.6472
71056,30338,Dunwoody,Dekalb County,397604.4323
71057,30339,Vinings,Cobb County,278015.6389
71058,30340,Atlanta,Dekalb County,160277.0851
71059,30341,Chamblee,Dekalb County,242469.362
71060,30342,Sandy Springs,Fulton County,480032.9412
71062,30344,East Point,Fulton County,67010.97302
71063,30345,Atlanta,Dekalb County,351912.6217
71064,30346,Dunwoody,Dekalb County,277458.6941
71070,30354,Atlanta,Fulton County,63121.90975
71076,30360,Dunwoody,Dekalb County,223256.5576
71079,30363,Atlanta,Fulton County,202517.5973
71023,30303,Atlanta,Fulton County,110456.046
71025,30305,Atlanta,Fulton County,442869.248
71026,30306,Atlanta,Fulton County,501377.7273
71027,30307,Atlanta,Dekalb County,409576.0064
71028,30308,Atlanta,Fulton County,210398.3193
71029,30309,Atlanta,Fulton County,268965.5704
71030,30310,Atlanta,Fulton County,55247.65554
71031,30311,Atlanta,Fulton County,65477.85828
71032,30312,Atlanta,Fulton County,214115.806
71033,30313,Atlanta,Fulton County,172226.5824
71034,30314,Atlanta,Fulton County,37194.72958
71035,30315,Atlanta,Fulton County,65955.04483
71036,30316,Atlanta,Dekalb County,170670.4924
71037,30317,Atlanta,Dekalb County,241207.0397
71038,30318,Atlanta,Fulton County,149269.1391
71039,30319,Brookhaven,Dekalb County,426355.8694
71043,30324,Atlanta,Fulton County,305573.6765
71045,30326,Atlanta,Fulton County,323887.4515
71046,30327,Atlanta,Fulton County,824443.2197
71047,30328,Sandy Springs,Fulton County,322322.9152
71048,30329,Atlanta,Dekalb County,291286.1374
71055,30337,College Park,Fulton County,116525.0736
71056,30338,Dunwoody,Dekalb County,399004.6902
71057,30339,Vinings,Cobb County,280090.069
71058,30340,Atlanta,Dekalb County,161474.2944
71059,30341,Chamblee,Dekalb County,244968.0557
71060,30342,Sandy Springs,Fulton County,481696.7254
71062,30344,East Point,Fulton County,67624.38873
71063,30345,Atlanta,Dekalb County,354203.4748
71064,30346,Dunwoody,Dekalb County,280274.1416
71070,30354,Atlanta,Fulton County,63730.60838
71076,30360,Dunwoody,Dekalb County,225496.7257
71079,30363,Atlanta,Fulton County,206303.8194
71023,30303,Atlanta,Fulton County,112088.3547
71025,30305,Atlanta,Fulton County,447747.0128
71026,30306,Atlanta,Fulton County,506098.4053
71027,30307,Atlanta,Dekalb County,412810.6158
71028,30308,Atlanta,Fulton County,212581.5247
71029,30309,Atlanta,Fulton County,271932.9522
71030,30310,Atlanta,Fulton County,55734.72936
71031,30311,Atlanta,Fulton County,65308.39838
71032,30312,Atlanta,Fulton County,216931.0701
71033,30313,Atlanta,Fulton County,172821.8537
71034,30314,Atlanta,Fulton County,37052.3408
71035,30315,Atlanta,Fulton County,66437.05883
71036,30316,Atlanta,Dekalb County,172722.7161
71037,30317,Atlanta,Dekalb County,244683.7812
71038,30318,Atlanta,Fulton County,150607.9155
71039,30319,Brookhaven,Dekalb County,429800.1737
71043,30324,Atlanta,Fulton County,308594.824
71045,30326,Atlanta,Fulton County,328995.4648
71046,30327,Atlanta,Fulton County,828044.6414
71047,30328,Sandy Springs,Fulton County,324233.3932
71048,30329,Atlanta,Dekalb County,293946.2401
71055,30337,College Park,Fulton County,117619.1549
